"Station","Name","Date","Tmax","Tmin"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-08-31","87","56"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-01","89","61"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-02","89","60"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-03","90","64"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-04","87","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-05","68","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-06","66","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-07","76","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-08","87","59"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-09","65","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-10","57","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-11","65","43"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-12","72","46"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-13","62","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-14","73","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-15","65","48"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-16","61","41"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-17","63","49"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-18","57","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-19","71","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-20","62","40"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-21","63","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-22","73","46"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-23","76","49"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-24","75","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-25","89","62"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-26","71","49"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-27","62","46"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-28","69","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-29","77","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-09-30","66","53"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-01","64","55"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-02","61","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-03","60","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-04","59","38"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-05","48","45"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-06","51","47"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-07","62","50"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-08","64","39"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-09","71","41"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-10","59","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-11","68","32"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-12","64","40"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-13","56","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-14","63","32"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-15","51","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-16","48","44"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-17","55","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-18","59","37"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-19","52","29"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-20","54","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-21","60","36"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-22","50","37"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-23","46","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-24","58","39"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-25","62","52"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-26","66","54"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-27","72","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-28","70","51"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-29","62","43"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-30","46","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-10-31","51","35"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-01","42","33"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-02","36","23"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-03","45","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-04","51","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-05","44","39"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-06","41","34"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-07","40","23"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-08","42","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-09","42","34"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-10","42","37"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-11","50","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-12","56","23"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-13","65","28"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-14","64","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-15","61","42"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-16","52","36"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-17","55","39"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-18","51","32"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-19","48","31"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-20","42","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-21","49","24"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-22","46","27"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-23","55","46"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-24","62","34"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-25","38","25"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-26","41","30"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2010-11-27","38","29"
